,Chapters,Release Dates
0,WSJ Break,
1,1071,"December 29, 2022"
2,WSJ Break,
3,1072,"January 20, 2023"
4,1073,"January 27, 2023"
5,Oda Break,
6,1074,"February 10, 2023"
7,1075,"February 17, 2023"
8,1076,"February 24, 2023"
9,Oda Break,
10,1077,"March 10, 2023"
11,1078,"March 17, 2023"
12,1079,"March 24, 2023"
13,Oda Break,
14,1080,"April 7, 2023"
15,1081,"April 14, 2023"
16,1082,"April 21, 2023"
17,WSJ Break,
18,1083,"May 5, 2023"
19,1084,"May 12, 2023"
20,1085,"May 19, 2023"
21,Oda Break,
22,1086,"June 2, 2023"
23,1087,"June 9, 2023"
24,1088,"June 16, 2023"
25,Oda Break,
26,1089,"June 30, 2023"
27,1090,"July 7, 2023"
28,1091,"July 14, 2023"
29,Oda Break,
30,1092,"July 28, 2023"
31,1093,"August 4, 2023"
32,WSJ Break,
33,1094,"August 18, 2023"
34,1095,"August 25, 2023"
35,1096,"September 1, 2023"
36,Oda Break,
37,1097,"September 15, 2023"
38,1098,"September 22, 2023"
39,1099,"September 29, 2023"
40,Oda Break,
41,1100,"October 13, 2023"
42,1101,"October 20, 2023"
43,1102,"October 27, 2023"
44,Oda Break,
45,1103,"November 10, 2023"
46,1104,"November 17, 2023"
47,1105,"November 24, 2023"
48,Oda Break,
49,1106,"December 8, 2023"
50,1107,"December 15, 2023"
51,1108,"December 22, 2023"
